_id,user_id,created_at,description,display_name,handle,updated_at
6778328c5d17b38e9c181e64,did:plc:d6t25gd7n52s3bs3hgspjci5,2025-01-03T15:55:08.344Z,Na luta contra extrema Direita não é guerra é genocídio em massa. 💯🌡️🚩🚩🚩🇧🇷🇧🇷🇧🇷 🏹🏹🏹 Sagitário Quente. MILITÂNCIA AGINDO PRA VALER. 🙏👍👊🤟✌️,Gilmar Carvalho Neves,ggilmar.bsky.social,2025-01-03T15:55:08.344Z
6778328c5d17b38e9c181e65,did:plc:whataluduaj42gnvdloqwiev,2025-01-03T15:55:08.369Z,N/A,N/A,johnatamhorst.bsky.social,2025-01-03T15:55:08.369Z
6778328c5d17b38e9c181e66,did:plc:efbrs427fdn3c4e4lnvgrkly,2025-01-03T15:55:08.371Z,N/A,N/A,fet22.bsky.social,2025-01-03T15:55:08.371Z
6778328c5d17b38e9c181e67,did:plc:bgfgkxse3iqqul26tb6uugky,2025-01-03T15:55:08.372Z,Where Legends Are Honoured 🏆⚽️,Globe Soccer Dubai Awards,globesoccer.com,2025-01-03T15:55:08.372Z
6778328c5d17b38e9c181e68,did:plc:al5ya6glb6f3mg24tdxyj7rn,2025-01-03T15:55:08.373Z,N/A,Michele 🧉🧭,maymmichele.bsky.social,2025-01-03T15:55:08.373Z
6778328c5d17b38e9c181e69,did:plc:rlrjdp7gmjhnlr3vctxa4cuf,2025-01-03T15:55:08.374Z,"Writer, producer, presenter, editor, chief cook and bottle washer of “The CFL Outsider” You Tube/Podcast. Canadian football fanatic. Leader, Skeptic. Generalist. Optimist.  Joker. Free thinker. Continuous learner.And sometimes pain in the ass.",Oldman Shoutingatclouds🇨🇦🏈,oldman-sac.bsky.social,2025-01-03T15:55:08.374Z
6778328c5d17b38e9c181e6a,did:plc:jgnbaxd46evyuy3uofp7yngf,2025-01-03T15:55:08.375Z,"Grêmio, Bayern e umas outras coisas aí ",Theo 🇪🇪,theogadodanay.bsky.social,2025-01-03T15:55:08.375Z
6778328c5d17b38e9c181e6b,did:plc:4g6dobebndtlckz2bozhkcnh,2025-01-03T15:55:08.376Z,N/A,Maicon F. Andrades,maicon-andrades.bsky.social,2025-01-03T15:55:08.376Z
6778328c5d17b38e9c181e6c,did:plc:kmpl5b4oqxkpjgrvpvb54koj,2025-01-03T15:55:08.377Z,Profile 1 \n💻 Digital Nomad\n🛍️ Dropshipper\n📹 Video Producer\n🎲 RPGs Producer\n🎭 Arts Producer,Douglas MacGinity,douglasmacginity.bsky.social,2025-01-03T15:55:08.377Z
6778328c5d17b38e9c181e6d,did:plc:fsua7nhvjnrgzmqqacqivm7g,2025-01-03T15:55:08.378Z,N/A,N/A,ebalem.bsky.social,2025-01-03T15:55:08.378Z
6778328c5d17b38e9c181e6e,did:plc:mah7bswqzmke7r5d25ru2sf2,2025-01-03T15:55:08.379Z,Livin' la vida loca. ♫,skittish_cat,romasimon575.bsky.social,2025-01-03T15:55:08.379Z
6778328c5d17b38e9c181e6f,did:plc:ylneiy5vcvvg75detlqamfbz,2025-01-03T15:55:08.380Z,N/A,Giovani Montagner,giovanimm.bsky.social,2025-01-03T15:55:08.380Z
