_id,user_id,created_at,description,display_name,handle,updated_at
677838df5d17b38e9c19958a,did:plc:5vh3vixtlig3hs6o2jlign3c,2025-01-03T16:22:07.081Z,Insta:  https://www.instagram.com/hellorickzin.rareblack?igsh=czR4cXJxMzN2Z3R4&utm_source=qr\nCruzeiro 🦊💙🤍\nBelo Horizonte 🔺\n237 ❤️‍🔥,Henrique Sampaio ,hellorickzin.bsky.social,2025-01-03T16:22:07.081Z
677838df5d17b38e9c19958b,did:plc:xmpoovdc5j7zfesa7yavdswi,2025-01-03T16:22:07.114Z,"Educator, B.S., M.A., Passion for education, journalism, politics & community service. 💙Football🏈Coffee☕️ News📰 Native Texas Democrat. \n***NO DM’s - you WILL be blocked!!!!***",kakasujones,kakasujonex.bsky.social,2025-01-03T16:22:07.114Z
677838df5d17b38e9c19958c,did:plc:az4c77yg7l4empfuxksv3edo,2025-01-03T16:22:07.116Z,"Democracy, lean blue💙💙💙, fairness and equality, massive believer in women’s rights. Children, animals, mental/physical health, then politics. No DM’s please. \n#wolves #bluecrew #strongertogether #justicematters",N/A,fintechernest.bsky.social,2025-01-03T16:22:07.116Z
677838df5d17b38e9c19958d,did:plc:2xrugyynmlhxvr2ll7czenyw,2025-01-03T16:22:07.117Z,‏💕رضيتُ بالله ربّا،و بالإسلام دينا،و بمحمدّ ﷺ نبيّا و رسولا💕,Bσʝσ Nσι,bojonoi19.bsky.social,2025-01-03T16:22:07.117Z
677838df5d17b38e9c19958e,did:plc:6v3bpqxpjvfgcuo2nfwouttg,2025-01-03T16:22:07.118Z,Bringing the excitement of Formula One racing to Bluesky,F1 Superfan,f1superfan.bsky.social,2025-01-03T16:22:07.118Z
677838df5d17b38e9c19958f,did:plc:p5typtyzc7umenbwdn6qmksn,2025-01-03T16:22:07.119Z,"""Each little bird in the sky is just a lil bit freer than I"" 🕊\n\nPerson with a disability from Adelaide. Music and sports tragic 🎶🏀\n\nCrows | Magic | AUFC | LUFC | Powerchair Football | Powerchair Hockey",Jono sais quoi,ordinaryjoel.bsky.social,2025-01-03T16:22:07.119Z
677838df5d17b38e9c199590,did:plc:izamwysjj4bl5kn6jlpzr7zg,2025-01-03T16:22:07.121Z,"I’m Fans of Adrenaline.\nDeath does not exist, it is an obligatory passage 💀\nAirplane-football-paraglider",J.C,jameson12.bsky.social,2025-01-03T16:22:07.121Z
677838df5d17b38e9c199591,did:plc:nihkh5ap7xirbw7uu3sr2hqm,2025-01-03T16:22:07.122Z,"Hello everyone, I'm Max!\n\nI'm a songwriter, my music is inspired by 90s britpop. Currently I upload songs that I have created at home with my laptop and guitar.\n\nMy page on #SoundCloud\nhttps://on.soundcloud.com/fnEQV \n\nI'm ready to cooperate and chat!",Max_Ginnel,maxginnel.bsky.social,2025-01-03T16:22:07.122Z
677838df5d17b38e9c199592,did:plc:d2d7u6q7cuq6yfiwv7r3zbai,2025-01-03T16:22:07.123Z,"#Financier of JVs in China & Startups #Physicist #Author: Strategy. #Playwright: 20 Recent NY Shows (Sarah's Rapture, Pablo's Kisses, Women of Paris, Badass Women, City Suite, A Day of Promise, Ritual Cleansing, Rebooting Life, Break-Up, Twilight of Joy...",Paul K. Smith,paulksmith.bsky.social,2025-01-03T16:22:07.123Z
677838df5d17b38e9c199593,did:plc:wpeyvcc4nvwpz3weu26q5e7s,2025-01-03T16:22:07.124Z,N/A,N/A,blue-walker.bsky.social,2025-01-03T16:22:07.124Z
