_id,user_id,created_at,description,display_name,handle,updated_at
677839155d17b38e9c199886,did:plc:paepeyczoyf74yhaj4ajb6bp,2025-01-03T16:23:01.296Z,N/A,N/A,fabioaguiar.bsky.social,2025-01-03T16:23:01.296Z
677839155d17b38e9c199887,did:plc:adg5xsxmmozbe2foh7xi6skk,2025-01-03T16:23:01.319Z,🇧🇷 - Ele/Dele - 💚TimeBomb Era💙\nNem sei porquê criei essa conta na real. Mas nunca se sabe.,Gutu⌛💣,omguto.bsky.social,2025-01-03T16:23:01.319Z
677839155d17b38e9c199888,did:plc:pfyhzbgmzpxzlemixd67nrih,2025-01-03T16:23:01.321Z,y17 solteiro,Mateus,yuuiio457777.bsky.social,2025-01-03T16:23:01.321Z
677839155d17b38e9c199889,did:plc:g7v2n2rwj2ztcs6ejgfbywy4,2025-01-03T16:23:01.322Z,N/A,Lins Nascimento ,linsnascimento.bsky.social,2025-01-03T16:23:01.322Z
677839155d17b38e9c19988a,did:plc:pga3jfwjqmilx3od5hsjccty,2025-01-03T16:23:01.323Z,"And I must not forget, we must not forget, that we are human beings.",eugene,eugene290390.bsky.social,2025-01-03T16:23:01.323Z
677839155d17b38e9c19988b,did:plc:ql3jc3mn3vysl6onc2penp6o,2025-01-03T16:23:01.325Z,Eu sou muito bonito e muito lindo ,Gabriel ,gbcell.bsky.social,2025-01-03T16:23:01.325Z
677839155d17b38e9c19988c,did:plc:cszyrsn7khxockcaxo7yceob,2025-01-03T16:23:01.326Z,"Pegue imagens deste perfil sem me citar, já que os memes remodelados são de terceiros, nunca coloco marca ou meu nick nas imagens= baixe tudo que quiser —sem dramas. ¡Si nuestra risa es muy cara —somos muy pobres! Diz quanto custa o seu sorriso?",Dudu Companheiro,duducompanheiro.bsky.social,2025-01-03T16:23:01.326Z
677839155d17b38e9c19988d,did:plc:rx34vtpwpyat5txjrpi3z2al,2025-01-03T16:23:01.327Z,N/A,Lucas,lucasmca.bsky.social,2025-01-03T16:23:01.327Z
677839155d17b38e9c19988e,did:plc:hqutuprr65nostmue2carrzr,2025-01-03T16:23:01.328Z,18y\n𝖙𝖗𝖚𝖘𝖙 𝖓𝖔 𝖔𝖓𝖊,エマーソン,alwayssonqz.bsky.social,2025-01-03T16:23:01.328Z
677839155d17b38e9c19988f,did:plc:jcy7zqrrvyn5s6td5ub4jnzv,2025-01-03T16:23:01.329Z,N/A,N/A,peleeosso.bsky.social,2025-01-03T16:23:01.329Z
677839155d17b38e9c199890,did:plc:k3f24oiz3f6a4zr57mwil3pb,2025-01-03T16:23:01.330Z,"#Retired Prison Warden #Chief Inspector #Soccer, #Cricket, #Veteran, #Movie #NFL, #Government, #Track & Field, #Crypto, #AMC #Music #Ape, #Jamaican #Blue Is My Favorite Color #Movie #Kung Fu #Boxer #Climate Change #Taurus",DonaldRedwood  🇯🇲🇺🇸,donaldredwood.bsky.social,2025-01-03T16:23:01.330Z
677839155d17b38e9c199891,did:plc:vefhvfq3qx3utd77czwvga7p,2025-01-03T16:23:01.331Z,Só queria viajar por aí e escrever uns textos legais,Ana Sofia Gala,littlesofiagirl.bsky.social,2025-01-03T16:23:01.331Z
